room_type,bathrooms,bath_type,bedrooms,bath type,bath type
Private room,1,private,1,unknown,private
Entire home/apt,1,bath,1,unknown,private
Entire home/apt,1,bath,0,unknown,private
Entire home/apt,1,bath,1,unknown,private
Entire home/apt,3,baths,3,unknown,shared
Private room,2.5,shared,1,unknown,private
Entire home/apt,1,bath,1,unknown,private
Private room,1,private,1,unknown,private
Entire home/apt,1,bath,1,unknown,private
Entire home/apt,2,baths,3,unknown,shared
Private room,1.5,shared,0,unknown,private
Private room,1,shared,1,unknown,private
Private room,1,shared,1,unknown,private
Entire home/apt,2,baths,4,unknown,shared
Private room,1,shared,1,unknown,private
Entire home/apt,2,baths,2,unknown,shared
Private room,,shared,,unknown,private
Entire home/apt,1,bath,1,unknown,private
Private room,1.5,shared,0,unknown,private
Private room,1,shared,1,unknown,private
Entire home/apt,1,bath,2,unknown,private
Private room,1,shared,2,unknown,private
Entire home/apt,2,baths,5,unknown,shared
Entire home/apt,1,bath,2,unknown,private
Entire home/apt,1,bath,1,unknown,private
Entire home/apt,1,bath,1,unknown,private
Private room,1,shared,1,unknown,private
Entire home/apt,1,bath,1,unknown,private
Entire home/apt,1.5,baths,4,unknown,private
Entire home/apt,1,bath,1,unknown,private
Private room,1,shared,1,unknown,private
Private room,1,shared,1,unknown,private
Private room,1,private,1,unknown,private
Entire home/apt,1,bath,1,unknown,private
Private room,1,private,1,unknown,private
Private room,1,private,1,unknown,private
Entire home/apt,1,bath,1,unknown,private
Entire home/apt,1,bath,1,unknown,private
Private room,1,shared,1,unknown,private
Entire home/apt,1,bath,1,unknown,private
Private room,1,private,1,unknown,private
Entire home/apt,2,baths,2,unknown,shared
Private room,1,shared,1,unknown,private
Private room,,shared,,unknown,private
Entire home/apt,1,bath,1,unknown,private
Entire home/apt,1,bath,0,unknown,private
Private room,1,private,0,unknown,private
Entire home/apt,1,bath,1,unknown,private
Private room,1,private,1,unknown,private
Private room,1.5,shared,1,unknown,private
Entire home/apt,1,bath,2,unknown,private
Entire home/apt,1,bath,2,unknown,private
Entire home/apt,1,bath,2,unknown,private
Entire home/apt,1,bath,1,unknown,private
Entire home/apt,1,bath,2,unknown,private
Private room,1.5,shared,1,unknown,private
Entire home/apt,1,bath,2,unknown,private
Entire home/apt,1,bath,1,unknown,private
Entire home/apt,1,bath,0,unknown,private
Entire home/apt,1,bath,2,unknown,private
Entire home/apt,1,bath,2,unknown,private
Entire home/apt,1,bath,1,unknown,private
Entire home/apt,1.5,baths,2,unknown,private
Entire home/apt,1.5,baths,2,unknown,private
Entire home/apt,1,bath,2,unknown,private
Entire home/apt,1,bath,3,unknown,private
Entire home/apt,1.5,baths,3,unknown,private
Entire home/apt,1,bath,2,unknown,private
Entire home/apt,1,bath,1,unknown,private
Entire home/apt,1,bath,3,unknown,private
Entire home/apt,1,bath,3,unknown,private
Entire home/apt,1,bath,0,unknown,private
Entire home/apt,1,bath,1,unknown,private
